name,longitude,latitude
Muehlestrasse-berm-1,7.271013,47.144965
"eidochsweg
suze 2",7.270827,47.147798
"eidochsweg
suze 1",7.271219,47.148142
"schloesslifeld
suze 1",7.271029,47.14996
"schloesslifeld
suze 5",7.270897,47.148198
schloesslifeld-suze-2,7.270963,47.150463
schloesslifeld-suze-3,7.270799,47.150676
-,8.627518,47.40203
Langholz-forest-1,7.288654,47.138625
langholz-forest-2,7.289871,47.138274
Laengholz-forest-7,7.272995,47.139778
Laengholz-forest-8,7.272231,47.139863
vorhoelzli-forest-2,7.2903071,47.1425505
Vorhoelzli-forest-3,7.293576,47.142904
Vorhoelzli-forest-4,7.291817,47.143041
Vorhoelzli-forest-1,7.289599,47.144191
Sonnenfeld-suze-1,7.2699,47.151539
parc-renfer-suze-1,7.268612,47.152466
buerenstrasse-suze-5,7.268903,47.152484
Buerenstrasse-Suze-1,7.268119,47.153276
Buerenstrasse-Suze-2,7.268319,47.153276
buerenstrasse-suze -4,7.268542,47.152749
burenstrasse-suze-3,7.268375,47.153029
Fuchsenried-forest-1,7.2647,47.154661
Schuessinsel-Suze-4,7.269258,47.146833
Schuessinsel-Kanal-1,7.267986,47.146952
Schuessinsel-Kanal-4,7.26888,47.14725
Muehlestrasse-Suze-1,7.269901,47.147394
"Schuessinsel
Suze 3",7.269336,47.147356
Schuessinsel-area-1,7.269176,47.147495
"eidochsweg
suze 3",7.270453,47.147518
"schloesslifeld
suze 4",7.270588,47.147979
Schuessinsel-Kanal-2,7.266907,47.146276
schuessinsel-suze-10,7.267709,47.146244
Schuessinsel-Kanal-3,7.266365,47.146143
Schuessinsel-suze-9,7.266441,47.145909
Schuessinsel-Kanal-7,7.265885,47.14571
Schuessinsel-Suze-8,7.26681,47.145975
schuessinsel-suze-7,7.265846,47.144647
schuessinsel-kanal-5,7.267715,47.14659
Fussweg-Suze-1,7.261473,47.143511
schuessinsel-suze-5,7.262288,47.143686
schuessinsel-suze-6,7.26365,47.143856
scheussinsel-kanal-6,7.263161,47.14415
Schuessinsel-Suze-2,7.262812,47.143969
Schuessinsel-Suze-1,7.262422,47.143974
"Fuchsenried
Forest 2",7.2644066,47.1560466
"Fuchsenried
Forest 3",7.264434,47.157223
"Holunderweg
Madretschkanal 2",7.256533,47.140735
Holunderweg-Madretschkanal-1,7.256594,47.14099
