Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,descript_1,type,htmlpopup,layerId,xcoord,ycoord
Muehlestrasse-berm-1,"20-04-2021, survey area is green area between bounded by the sidewalk, fence and bridge.",,,,,-1,0,-1,,,,marker,,,2587286.16169698,1221568.18695673
eidochsweg-suze-2,"survey area between cemetery and forest edge, area where chain link fence forms boundary (about 40 meters)
17-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(eidochsweg
suze 2)</div><div>survey area between cemetery and forest edge, area where chain link fence forms boundary (about 40 meters)
17-04-2021
20-03-2021</div></div>",KML||https://public.geo.admin.ch/J8AsDWKnTgayCQFzjAHfzw,2587272.73137384,1221883.17592248
eidochsweg-suze-1,"survey area is flat area between cemetery and tree line, bounded by sidewalk and point where wall turns in.
17-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(eidochsweg
suze 1)</div><div>survey area is flat area between cemetery and tree line, bounded by sidewalk and point where wall turns in.
17-04-2021
20-03-2021</div></div>",KML||https://public.geo.admin.ch/J8AsDWKnTgayCQFzjAHfzw,2587302.54547449,1221921.35619459
schloesslifeld-suze-1,"survey area is between sidewalk, rocky area leading to beach and suze, extending about 15 meters to the right of the rocks.
17-04-2021",,,,,-1,0,-1,,,,marker,,,2587288.56919227,1222123.50333389
schloesslifeld-suze-5,"survey area is between concrete structure and suze, from bridge to end end of concrete area downstream
26-05-2021",,,,,-1,0,-1,,,,marker,,,2587278.13633553,1221927.63449106
schloesslifeld-suze-2,"survey area is between suze and path, extending the length of the right bunch of trees.
12-05-2021",,,,,-1,0,-1,,,,marker,,,2587283.68377323,1222179.43514482
schloesslifeld-suze-3,,,,,,-1,0,-1,,,,marker,,,2587271.29648653,1222203.1421956
Langholz-forest-1,"area to the left and and right of the road just before the newly planted treeline on left, until treeline on right.",,,,,-1,0,-1,,,,marker,,,2588622.89056099,1220860.61176016
langholz-forest-2,"survey area about 20 meters long on left side of road, extenidng about 2 meters deep, starting about 15 meters from main road",,,,,-1,0,-1,,,,marker,,,2588715.1375559,1220821.41239677
Laengholz-forest-7,survey area is between building and slope towards molasseweg,,,,,-1,0,-1,,,,marker,,,2587435.27284506,1220991.20169268
