species,collection,origin,Date-collected,Storage-container,Storage-location,storage-comment,Planting-date,Planting-method,Area-planted,Amount-planted,10.10.2021_comment,12.10.2021_comment,14.10.2021_count,14.10.2021_comment,16.10.2021_count,16.10.2021_comment,18.10.2021_count,18.10.2021_comment,20.10.2021_count,20.10.2021_comment,22.10.2021_count,22.10.2021_comment,24.10.2021_count,24.20.2021_comment,26.10.2021_count,26.10.2021_comment,28.10.2021_count,28.10.2021_comment,30.10.2021_count,30.10.2021_comment,03.11.2021_count,03.11.2021_comment,08.11.2021_count,08.11.2021_comment,,,,,
Trifolium campestre,personal,Cygnes-lot,10/4/2021,glass jar,home,collected in rain, stored in glass jar and the majority of seeds germinated 3 days later.,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,22,moderate,sprouts doing well, other seeds not sprouting,sprouts very leggy, other seeds started sprouting,16,sprouts very leggy, other seeds started sprouting,16,,16,,18,all seedlings gone, now new sprouts,18,,19,,21,,21,,skip,,skip,,skip
Medicago sativa,personal,Cygnes-lot,10/4/2021,glass jar,home,collected in rain, stored in glass jar and a strong minority of seeds germinated 3 days later.,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,22,moderate,sprouts doing well, other seeds not sprouting,sprouts very leggy, other seeds started sprouting,16,sprouts very leggy, other seeds started sprouting,16,,17,,17,dominated by new seedlings,17,,18,,18,,18,,skip,,skip,,skip,
Sanguisorba minor,personal,Cygnes-lot,Jul-21,tobacco can,home / greenhouse,collected in rain, stored in glass jar and  planted 3 days later,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,full,0,3 sprouts just started,8,,11,,11,,11,,11,high germination percentage, need to transplant soon,11,,11,,11,,skip,,skip,,skip,,,
Trifolium sp.,personal,Cygnes-lot,10/4/2021,glass jar,home,collected in rain, stored in glass jar and  planted 3 days later,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,small,0,small sprouts,5,,7,,7,,9,,8,,9,,9,,9,,skip,,skip,,skip,,,,
Medicago lupulina,personal,Cygnes-lot,10/4/2021,glass jar,home,collected in container, stored at home until use,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,moderate,0,,2,,3,,3,,6,,5,,6,,5,,5,,skip,,skip,,skip,,,,
Tragopogon pratensis,personal,Port-lot,Aug-21,glass jar,home,collected in container, stored at home until use,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,full,0,0,0,,1,,2,,3,,4,,4,,9,,10,,skip,,skip,,skip,,,,
solidago sp.,personal,felseck,Sep-21,paper bag,home,collected in container, stored at home until use,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,full,0,0,0,,4,,7,,11,concentrated in 4 boxes,11,contaminated many other boxes,11,,11,,11,,skip,,skip,,skip,,,,
Centaurea Scabiosa,personal,port-lot,Aug-21,glass jar,home,collected in container, stored at home until use,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,moderate,0,started,8,,8,,9,,7,,8,,8,,8,,8,,skip,,skip,,skip,,,,
Silene Dioica,personal,cdf-forest,Aug-21,glass jar,home,collected in paper bag, stored for about 3 week then transfered to glass container and stored for 2 weeks in a class container.,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,moderate,0,1  started,1,maybe contamination !,1,,1,,8,,8,,9,,9,,8,,skip,,skip,,skip,,,,
Dianthus Carthusianorum,personal,alt-stadt,Jul-21,glass jar,home,collected in a plastic bag, transferred to an open glass jar shortly after harvesting.,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,moderate,0,started,9,,11,,11,,11,,11,very high germination rate,11,,11,,11,,skip,,skip,,skip,,,,
anthyllis vulneraria,personal,Biel CFF,Jul-21,glass jar,home,collected in a paper bag, transferred to an open then closed glass container,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,full,0,0,0,,0,,0,,0,,0,,0,,0,,0,,skip,,skip,,skip,,,,
Onobrychus vicifolia,personal,A5,Jul-21,glass jar,home,collected in a paper bag, transferred to an open glass container about a week after  harvesting,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,11,full,0,,11,,11,,11,,11,,11,,11,,11,,11,,skip,,skip,,skip,,,,
Felseck flower mix,personal,Felseck,Sep-21,closed plastic tube,home,collected in closed plastic containers, stored until use,10/8/2021,layer 1 cm below surface, 1 layer semi exposed to light,1/2 concrete container,full,0,0,2,,8,,17,,17,,18,,18,,18,,19,,22,,24,,,,,,
Felseck grass max,personal,Felseck,Sep-21,closed plastic tube,home,collected in closed plastic containers, stored until use,10/10/2021,layer 1 cm below surface, 1 layer semi exposed to light,1/2 concrete container,full,0,0,2,,10,,13,,16,,17,,24,,31,,32,,37,,40,,,,,,
valeriana officinalis,volo,volo,2017-2020,volo,volo,stored in basement of equipe volo, removed and stored in open glass container/wax envelope at home until use,10/10/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,moderate,-,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,
sanguisorba officinalis,volo,volo,2019,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,small,-,-,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,
silene flos-cuculi,volo,volo,twentytwenty,jar,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,small,-,-,0,,0,,1,1 sprout in 1 cell,5,,5,,7,4 cells filled up, 3 with stragglers,7,,7,,7,,,,,,,
silene nutans,volo,rubigen,2019,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,small,,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
papaver somniferum,volo,volo,2020,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,1,1 sprout in 1 cell,0,,0,,0,,0,,0,,0,,,,,,,,
verbascum nigrum,volo,rubigen,2019,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,7,all cells full,7,,7,,7,,7,,7,,7,,,,,,,,
verbascum lychnitis,volo,ursula albrecht,2020,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,7,all cells full,7,,7,,7,,7,,7,,7,,,,,,,,
saponaria ocymoides,volo,volo,2015,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,0,,1,,1,,1,,1,,2,,1,,,,,,,,
echincacea purpurea,volo,volo,2015,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,0,,0,,0,,1,breaking out of seed, confirmed,6,,7,each cell multiple sprouts,7,,,,,,,
potentilla recta,volo,rubigen,2020,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,6,medium filled cells,7,ship,7,,7,,7,,7,,7,,,,,,,,
origanum vulgare,volo,volo,2019,TO BE ENTERED,volo,stored in basement of equipe volo, removed and stored in open glass container at home until use,10/13/2021,layer 1 cm below surface, 1 layer semi exposed to light,7 cells,full,-,-,0,,0,,7,medium filled cells,7,ship,7,,7,,7,,7,,7,,,,,,,,
