species,nom francais,deutschername
Ajuga reptans          ,Bugle rampante,Kriechender Günsel
Alchemilla xanthochlora,Alchémille commune,Gemeiner Frauenmantel
Althaea officinalis,Guimauve,Echter Eibisch
Anchusa officinalis,Buglosse officinale,Ochsenzunge
Anthericum ramosum             ,Anthéricum rameux,Ästige Graslilie              
Artemisia absinthum,Armoise absinthe,Wermut
Aster amellus                  ,Aster amelle,Kalk-oder Bergaster                     
Astrantia major                ,Grande astrance,Grosse Sterndolde              
Betonica officinalis,Epiaire ou Bétoine officinale,"Betonie, Heilziest             "
Borago officinalis 1,Bourrache,Borretsch
Briza media,"Brize intermédiaire, Amourette",Zittergras
Calendula officinalis 1,Souci des champs,Ringelblume
Campanula glomerata            ,Campanule agglomérée,Knäuelglockenblume
Campanula trachelium           ,Campanule gantelée,Nesselbl. Glockenblume  
Carum carvi 1,"Carvi, Cumin des près",Kümmel
Centaurea cyanus 1,Bleuet,Kornblume
Centaurea montana,Centaurée des montagnes,Berg-Flockenblume
Convallaria majalis            ,Muguet,Maiglöckchen                   
Cymbalaria muralis             ,"Cymbalaire, Ruine de Rome",Zimbelkraut                    
Delphinium elatum,Dauphinelle élevée,Hoher Rittersporn
Dianthus deltoides             ,Oeillet à tige pubescente,Heide-Nelke                  
Dianthus superbus              ,Oeillet superbe,Pracht-Nelke                 
Digitalis purpurea             ,Digitale pourpre,Roter Fingerhut                
Diplotaxis tenuifolia,Roquette,"Mehrjähriger Rucola, Senfrauke"
Eryngium planum,Chardon bleu des Alpes,"Blaudistel, Alpen-Mannstreu"
Filipendula ulmaria,Reine des prés,"Mädesüss, Moor-Spierstaude"
Fragaria vesca                 ,Fraisier des bois,Wald-Erdbeere                  
Galium odoratum                ,Gaillet odorant,Waldmeister                    
Galium verum        ,Gaillet jaune,Echtes Labkraut                
Genista tinctoria,Genêt des teinturiers,Färber-Ginster
Geranium pratense,Géranium des champs,Wiesen-Storchschnabel
Geum rivale,Benoîte des ruisseaux,Bachnelkenwurz           
Globularia cordifolia,Globulaire à feuilles en cœur ,Herzblättrige Kugelblume
Globularia punctata,Globulaire allongée,Gemeine Kugelblume
Helianthemum nummularium  ,Hélianthème nummulaire,Ovalblättriges Sonnenröschen
Hyssopus officinalis,Hysope,Ysop                           
Knautia dipsacifolia,Knautie à feuilles de cardère ,Wald-Witwenblume
Levisticum officinale,Lavande,Lavendel
Luzula nivea,Luzule blanc-de-neige,Schneeweisse Hainsimse
Lychnis flos-cuculi,Silène fleur de coucou,Kuckucks-Lichtnelke                
Malva alcea                    ,Mauve alcée,Rosenmalve                     
Malva moschata,Mauve musquée,Moschus- oder Bisam-Malve
Malva silvestris,Grande mauve,Grosses Käslikraut
Melilotus albus,Mélilot blanc,Weisser Honig- oder Steinklee
Melissa officinalis,Livèche officinale,"Liebstöckel, Maggikraut"
Monarda dydima,Menthe marocaine,Marokkanische Minze
Monarda fistulosa,Monarde,Goldmelisse
Ocimum basilicum 1,Monarde sauvage ou fistuleuse,"Wilde Bergamotte, Indianernessel"
Onobrychis viciifolia          ,Esparcette à feuilles de vesce,Saat-Esparsette              
Ononis repens,Ononis rampant,Kriechende Hauhechel
Ononis spinosa    ,Bugrane épineuse,Dornige Hauhechel             
Onopordum acanthium            ,Onoporde acanthe,Eselsdistel                    
Origanum majorana 1,Basilic,Basilikum
Origanum vulgare ssp. Viride,Marjolaine,Sommermajoran
Polemonium caeruleum           ,Polémoine bleue,"Sperrkraut, Himmelsleiter"
Polygalla chamaebuxus,Polygale petit buis,Buchsblättrige Kreuzblume
Pulmonaria officinalis,Pulmonaire officinale,Gemeines Lungenkraut
Salvia glutinosa               ,Sauge glutineuse,Klebrige Salbei                
Salvia pratensis               ,Sauge des prés,Wiesen-Salbei                   
Salvia sclarea,Sauge sclarée,Muskateller-Salbei
Sanguisorba officinalis,Grande pimprenelle,Grosser Wiesenknopf
Saponaria ocymoides            ,Saponaire rose,Rotes Seifenkraut              
Satureja montana,Sauge officinale,Winter-Bohnenkraut  
Saxifraga rotundifolia,Saxifrage à feuilles rondes,Rundblättriger Steinbrech
Scabiosa columbaria            ,Scabieuse colombaire,Taubenskabiose                 
Sedum telephium,Grand orpin,Fetthenne
Sempervivum arachnoideum,Joubarbe à grandes fleurs,Spinnweb-Hauswurz
Sempervivum tectorum,Joubarbe des toits,Dach-Hauswurz
Silene dioica                  ,Silène dioïque,Rote Lichtnelke                
Stachys silvatica,Epiaire du forêt,Wald-Ziest
Succisa pratensis              ,Succise des prés,Teufelsabbiss
Symphytum officinale,Consoude officinale,Gemeiner Beinwell
Teucrium chamaedrys            ,Germandrée petit chêne,Edel-Gamander                 
Thalictrum aquilegiifolium,Pigamon à feuilles d'ancolie,Akeleiblättrige Wiesenraute
Thymus vulgaris                ,Sariette des montagnes,Thymian
Trifolium rubens,Trèfle pourpe,Purpurklee
Verbascum lychnitis,Molène farineuse,Mehlige Königskerze
Verbascum nigrum               ,Molène noire,Schwarze Königskerze      
Verbena officinalis           ,Verveine officinale,Eisenkraut
Veronica spicata               ,Véronique en épi,Ähriger Ehrenpreis             
