art,jahr,standort,menge,letzte aktualisierung,bearbeitet,lagerbehaelter
achillea millefolium,2020,ursula albrecht,1 teeloeffel,Oct-21,,plastikkiste
achillea millefolium,2020,jorat,2 essloeffel,Oct-21,,plastikkiste
acinos alpinum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
agastache sp.,2016,volo,4 essloeffel,Oct-21,,plastikkiste
agrimonia eupatoria,2020,volo,1/4 gefaess,Oct-21,,plastikkiste
agrimonia eupatoria,2015,volo,1 gefaess,Oct-21,,plastikkiste
agrimonia eupatoria,2020,volo,1/4 gefaess,Oct-21,,plastikkiste
agrimonia eupatoria,-,volo,1 gefaess,Oct-21,,plastikkiste
agrimonia eupatoria,2015,volo,1 klein gefaess,Oct-21,,plastikkiste
agrostemma githalgo,2019,volo,1 sehr klein gefaess,Oct-21,,plastikkiste
agrostemma githalgo,2018,volo,1/4 gefaess,Oct-21,,plastikkiste
agrostemma githalgo,2020,volo,1/4 gefaess,Oct-21,,plastikkiste
agrostemma githalgo,2017,volo,4 essloeffel,Oct-21,,plastikkiste
alcea rosea,2015,volo,1 gefaess,Oct-21,,plastikkiste
alcea rosea,2015,volo,1 gefaess,Oct-21,,plastikkiste
alcea rosea,2015,volo,1 gefaess,Oct-21,,plastikkiste
alcea rosea,2015,volo,1 gefaess,Oct-21,,plastikkiste
Alchemilla alpina,2020,volo,1/5 klein gefaess,Oct-21,,plastikkiste
alchemilla alpina,2019,AU,2 essloeffel,Oct-21,,plastikkiste
alchemilla alpina,2018,volo,4 essloeffel,Oct-21,,plastikkiste
alchemilla xanthochlora,2019,ursula albrecht,2 essloeffel,Oct-21,,plastikkiste
allium fistulosum,2019,?,1 klein package,Oct-21,yes,plastikkiste
allium montanum,2016,volo,1 essloeffel,Oct-21,,plastikkiste
allium schoenoprasum,2019,volo,1 teeloeffel,Oct-21,,plastikkiste
allium sphaerocephalon,2020,volo,3 essloeffel,Oct-21,,plastikkiste
allium sphaerocephalon,2019,volo,3 essloeffel,Oct-21,,plastikkiste
allium vineale ,2016,volo,1 essloeffel,Oct-21,,plastikkiste
althaea officinalis,2017,volo,2 essloeffel,Oct-21,,plastikkiste
althaea officinalis,2020,volo,1 essloeffel,Oct-21,,plastikkiste
anemone nemorosa,2016,Uetendorf,1 essloeffel,Oct-21,,plastikkiste
anemone sylvestris,2019,lobsigen,2 essloeffel,Oct-21,,plastikkiste
anemone sylvestris,2017,PW / Eschenbach,2 essloeffel,Oct-21,,plastikkiste
anthemis tinctoria,2019,ursula albrecht,1 essloeffel,Oct-21,,plastikkiste
anthemis tinctoria,2019,ursula albrecht,4 essloeffel,Oct-21,,plastikkiste
anthemis tinctoria,2018,volo,1 essloeffel,Oct-21,,plastikkiste
