Taxon ID InfoSpecies,groupe d'organisme,org. abrév., ID taxon,nom du taxon,Synonymes utiles,nom allemand,nom français,nom italien,priorité,menace,responsabilité,nécessité de prendre des mesures,nécessité de surveiller les populations,connaissances suffisantes?,techniques connues?,BE,JU
infoflora:1000,Gefässpflanzen,TRAC,1000,Achillea atrata L.,,Schwarze Schafgarbe,Achillée noirâtre,Millefoglio del calcare,4,LC,3,0,0,1,1,A,0
infoflora:1100,Gefässpflanzen,TRAC,1100,Achillea clavenae L.,,Clavenas Schafgarbe,Achillée de Clavena,Millefoglio di Clavena,3,VU,2,1,0,1,0,0,0
infoflora:1200,Gefässpflanzen,TRAC,1200,Achillea collina Rchb.,,Hügel-Schafgarbe,Achillée des collines,Millefoglio comune,4,VU,1,1,1,1,0,0,0
infoflora:1500,Gefässpflanzen,TRAC,1500,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,,Moschus-Schafgarbe,Achillée musquée,Millefoglio del granito,4,LC,3,0,0,1,0,A,0
infoflora:1600,Gefässpflanzen,TRAC,1600,Achillea macrophylla L.,,Grossblättrige Schafgarbe,Achillée à grandes feuilles,Millefoglio delle radure,4,LC,3,0,0,1,0,A,0
infoflora:2200,Gefässpflanzen,TRAC,2200,Achillea ptarmica L.,,Sumpf-Schafgarbe,Herbe à éternuer,Millefoglio palustre,4,VU,1,1,1,1,0,A,A
infoflora:3100,Gefässpflanzen,TRAC,3100,Aconitum anthora L.,,Blassgelber Eisenhut,Aconit anthora,Aconito antora,4,VU,1,1,2,1,0,0,0
infoflora:3570,Gefässpflanzen,TRAC,3570,Aconitum napellus subsp. tauricum (Wulfen) Gáyer,,Tauern-Eisenhut,Aconit du Tauern,Aconito dei Tauri,3,VU,2,1,1,1,0,0,0
infoflora:4400,Gefässpflanzen,TRAC,4400,Aconitum variegatum L. subsp. variegatum,,Gescheckter Eisenhut,Aconit panaché,Aconito screziato,4,VU,1,1,1,1,0,0,0
infoflora:4700,Gefässpflanzen,TRAC,4700,Aconitum variegatum subsp. rostratum (DC.) Gáyer,,Geschnäbelter Eisenhut,Aconit à bec,Aconito rostrato,4,NT,2,0,0,1,0,B,0
infoflora:5300,Gefässpflanzen,TRAC,5300,Adenophora liliifolia (L.) A. DC.,,Drüsenglocke,Adénophore à feuilles de lis,Campanella odorosa,1,CR,2,2,2,2,1,0,0
infoflora:5600,Gefässpflanzen,TRAC,5600,Adenostyles leucophylla (Willd.) Rchb.,,Filziger Alpendost,Adénostyle à feuilles blanches,Cavolaccio lanoso,4,LC,3,0,0,1,0,A,0
infoflora:5700,Gefässpflanzen,TRAC,5700,Adiantum capillus-veneris L.,,Venushaar,Capillaire,Capelvenere comune,4,VU,1,1,1,1,0,A,0
infoflora:5800,Gefässpflanzen,TRAC,5800,Adonis aestivalis L.,,Sommer-Blutströpfchen,Adonis d'été,Adonide estiva,4,VU,1,2,0,2,1,A,D
infoflora:6100,Gefässpflanzen,TRAC,6100,Adonis flammea Jacq.,,Scharlachtrotes Blutströpfchen,Adonis flamme,Adonide scarlatta,3,EN,1,2,0,2,1,D,0
infoflora:6200,Gefässpflanzen,TRAC,6200,Adonis vernalis L.,,Frühlings-Adonis,Adonis du printemps,Adonide gialla,4,VU,1,2,1,2,1,0,0
infoflora:7000,Gefässpflanzen,TRAC,7000,Aethionema saxatile (L.) R. Br.,,Felsen-Steintäschel,Aethionéma des rochers,Erba-storna carnicina,4,VU,1,1,1,1,0,A,0
infoflora:7600,Gefässpflanzen,TRAC,7600,Agrimonia procera Wallr.,,Wohlriechender Odermennig,Aigremoine élevée,Agrimonia profumata,4,VU,1,1,1,1,0,A,C
infoflora:8200,Gefässpflanzen,TRAC,8200,Agrostemma githago L.,,Kornrade,Nielle des blés,Gittaione comune,3,EN,1,2,0,2,1,A,A
infoflora:9700,Gefässpflanzen,TRAC,9700,Aira caryophyllea L.,,Nelken-Haferschmiele,Aïra caryophyllé,Nebbia maggiore,4,VU,1,1,1,1,0,D,0
infoflora:9900,Gefässpflanzen,TRAC,9900,Aira elegantissima Schur,,Zierliche Haferschmiele,Aïra élégant,Nebbia minore,3,EN,1,2,0,1,0,0,0
infoflora:10000,Gefässpflanzen,TRAC,10000,Aira praecox L.,,Frühe Haferschmiele,Aïra précoce,Nebbia precoce,2,CR(PE),1,99,0,0,0,0,0
infoflora:10100,Gefässpflanzen,TRAC,10100,Ajuga chamaepitys (L.) Schreb.,,Gelber Günsel,Bugle jaune,Iva artritica,4,VU,1,1,0,1,0,A,C
infoflora:11300,Gefässpflanzen,TRAC,11300,Alchemilla amphisericea Buser,,Seidenglanz-Silbermantel,Alchémille de Charbonnel,Ventaglina (senza nome italiano usuale),4,LC,3,0,0,1,0,A,0
infoflora:11450,Gefässpflanzen,TRAC,11450,Alchemilla argentidens Buser,,Frauenmantel (ohne gebräuchlichen deutschen Artnamen),Alchemille (sans nom français usuel),Ventaglina (senza nome italiano usuale),3,LC,4,0,0,1,0,0,0
infoflora:14830,Gefässpflanzen,TRAC,14830,Alchemilla galkinae S. E. Fröhner,,Frauenmantel (ohne gebräuchlichen deutschen Artnamen),Alchemille (sans nom français usuel),Ventaglina (senza nome italiano usuale),3,LC,4,0,0,1,0,0,0
infoflora:14860,Gefässpflanzen,TRAC,14860,Alchemilla gemmia Buser,,Frauenmantel (ohne gebräuchlichen deutschen Artnamen),Alchemille (sans nom français usuel),Ventaglina (senza nome italiano usuale),3,LC,4,0,0,1,0,0,0
infoflora:18100,Gefässpflanzen,TRAC,18100,Alchemilla pentaphyllea L.,,Schneetälchen-Frauenmantel,Alchémille à cinq folioles,Ventaglina a cinque foglie,4,LC,3,0,0,1,0,A,0
infoflora:21600,Gefässpflanzen,TRAC,21600,Aldrovanda vesiculosa L.,,Aldrovande,Aldrovande à vessies,Aldrovanda,3,EN,1,2,1,2,1,C,C
infoflora:21700,Gefässpflanzen,TRAC,21700,Alisma gramineum Lej.,,Grasartiger Froschlöffel,Flûteau graminée,Mestolaccia sottile,3,EN,1,2,2,2,1,C,C
infoflora:21800,Gefässpflanzen,TRAC,21800,Alisma lanceolatum With.,,Lanzettblättriger Froschlöffel,Flûteau lancéolé,Mestolaccia lanceolata,3,EN,1,2,2,2,1,A,C
infoflora:22200,Gefässpflanzen,TRAC,22200,Allium angulosum L.,,Kantiger Lauch,Ail anguleux,Aglio angoloso,4,VU,1,2,2,2,1,A,0
infoflora:22500,Gefässpflanzen,TRAC,22500,Allium carinatum subsp. pulchellum Bonnier & Layens,,Niedlicher Lauch,Ail élégant,Aglio grazioso,4,VU,1,1,1,1,0,A,0
infoflora:23000,Gefässpflanzen,TRAC,23000,Allium lineare L.,,Steifer Lauch,Ail linéaire,Aglio sottile,3,VU,2,2,1,1,0,0,0
infoflora:24000,Gefässpflanzen,TRAC,24000,Allium rotundum L.,,Kugeliger Lauch,Ail arrondi,Aglio arrotondato,2,CR,1,2,2,2,1,0,0
infoflora:24700,Gefässpflanzen,TRAC,24700,Allium suaveolens Jacq.,,Wohlriechender Lauch,Ail odorant,Aglio odoroso,3,EN,1,2,2,2,1,0,0
infoflora:25500,Gefässpflanzen,TRAC,25500,Alopecurus aequalis Sobol.,,Rotgelber Fuchsschwanz,Vulpin fauve,Coda di topo arrossata,4,VU,1,1,1,1,0,A,A
infoflora:25700,Gefässpflanzen,TRAC,25700,Alopecurus geniculatus L.,,Geknieter Fuchsschwanz,Vulpin genouillé,Coda di topo ginocchiata,4,VU,1,1,0,1,0,A,A
infoflora:26600,Gefässpflanzen,TRAC,26600,Alyssoides utriculata (L.) Moench,,Blasenschötchen,Faux alysson renflé,Vesicaria maggiore,4,NT,2,0,0,1,0,0,0
infoflora:26700,Gefässpflanzen,TRAC,26700,Alyssum alpestre L.,,Alpen-Steinkraut,Alysson alpestre,Alisso alpestre,2,EN,2,2,2,2,1,0,0
infoflora:29650,Gefässpflanzen,TRAC,29650,Anacamptis pyramidalis var. tanayensis Chenevard,,Tanay-Spitzorchis,Orchis de Tanay,Orchide di Tanay,2,VU,3,1,1,1,0,A,0
infoflora:29900,Gefässpflanzen,TRAC,29900,Anagallis foemina Mill.,,Blauer Gauchheil,Mouron femelle,Centonchio azzurro,4,VU,1,1,0,1,0,A,A
infoflora:30000,Gefässpflanzen,TRAC,30000,Anagallis minima (L.) E. H. L. Krause,,Kleinling,Centenille naine,Centonchio minore,2,CR,1,2,2,2,1,A,A
infoflora:30100,Gefässpflanzen,TRAC,30100,Anagallis tenella (L.) L.,,Zarter Gauchheil,Mouron délicat,Centonchio palustre,1,CR,2,2,2,2,1,0,0
infoflora:31400,Gefässpflanzen,TRAC,31400,Androsace brevis (Hegetschw.) Ces.,,Charpentiers Mannsschild,Androsace courte,Androsace orobia,2,VU,3,1,2,2,1,0,0
infoflora:32300,Gefässpflanzen,TRAC,32300,Androsace maxima L.,,Acker-Mannsschild,Androsace des champs,Androsace annuale,2,CR,1,2,1,2,1,0,0
infoflora:32600,Gefässpflanzen,TRAC,32600,Androsace pubescens DC.,,Weichhaariger Mannsschild,Androsace pubescente,Androsace pubescente,4,NT,2,0,0,1,0,A,0
infoflora:32800,Gefässpflanzen,TRAC,32800,Androsace septentrionalis L.,,Nordischer Mannsschild,Androsace septentrionale,Androsace nordica,2,EN,2,2,1,2,1,0,0
infoflora:33000,Gefässpflanzen,TRAC,33000,Androsace villosa L.,,Zottiger Mannsschild,Androsace velue,Androsace appenninica,4,VU,1,1,2,1,0,0,0
