date,place,feature,number,species,quantity,confidence,no_flowers,notes,Full-place-name
03.04.21,zukunftstrasse,box,1,Viburnum farreri,2,2,,,zukunftstrasse-box-1
03.04.21,zukunftstrasse,box,1,Quercus suber,1,1,,,zukunftstrasse-box-1
03.04.21,zukunftstrasse,box,1,Prunus avium,1,0,,,zukunftstrasse-box-1
03.04.21,zukunftstrasse,box,2,Viburnum farreri,2,2,,,zukunftstrasse-box-2
03.04.21,zukunftstrasse,box,2,Quercus suber,1,1,,,zukunftstrasse-box-2
03.04.21,zukunftstrasse,box,2,Prunus avium,1,0,,,zukunftstrasse-box-2
03.04.21,zukunftstrasse,box,3,Viburnum farreri,2,2,,,zukunftstrasse-box-3
03.04.21,zukunftstrasse,box,3,Quercus suber,1,1,,,zukunftstrasse-box-3
03.04.21,zukunftstrasse,box,3,Prunus avium,1,0,,,zukunftstrasse-box-3
03.04.21,zukunftstrasse,box,4,Narcissus jonquillium,5,2,,,zukunftstrasse-box-4
03.04.21,zukunftstrasse,box,4,Viburnum farreri,2,2,,,zukunftstrasse-box-4
03.04.21,zukunftstrasse,box,5,Viburnum farreri,2,2,,,zukunftstrasse-box-5
03.04.21,zukunftstrasse,box,5,Narcissus jonquillium,5,2,,,zukunftstrasse-box-5
03.04.21,zukunftstrasse,box,6,Viburnum farreri,2,2,,,zukunftstrasse-box-6
03.04.21,zukunftstrasse,box,6,Narcissus jonquillium,5,2,,,zukunftstrasse-box-6
03.04.21,zukunftstrasse,box,7,Viburnum farreri,1,2,,,zukunftstrasse-box-7
03.04.21,zukunftstrasse,box,7,Narcissus jonquillium,5,2,,,zukunftstrasse-box-7
05.04.21,zukunftstrasse,box,8,Narcissus jonquillium,5,2,,,zukunftstrasse-box-8
05.04.21,zukunftstrasse,box,8,Viburnum farreri,1,2,,,zukunftstrasse-box-8
05.04.21,zukunftstrasse,box,8,Prunus avium,1,0,,,zukunftstrasse-box-8
05.04.21,zukunftstrasse,box,8,Quercus suber,1,1,,,zukunftstrasse-box-8
05.04.21,zukunftstrasse,box,9,Narcissus jonquillium,5,2,,,zukunftstrasse-box-9
05.04.21,zukunftstrasse,box,9,Viburnum farreri,2,2,,,zukunftstrasse-box-9
05.04.21,zukunftstrasse,box,10,Narcissus jonquillium,5,3,,,zukunftstrasse-box-10
05.04.21,zukunftstrasse,box,10,Viburnum farreri,2,3,,,zukunftstrasse-box-10
05.04.21,zukunftstrasse,box,12,Capsella bursa-pastoris,,1,,,zukunftstrasse-box-12
05.04.21,zukunftstrasse,box,12,Cardamine hirsuta,,1,,,zukunftstrasse-box-12
05.04.21,schneidergaessli,area,1,lamium purpureum,1 patch,2,,close to border w/ future area 2,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Ranunculus ficaria,Signficiant % of cover,2,,,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Glechoma hederacea,scattered,2,,,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Veronica hederifolia,scattered,1,,,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Corydalus cava,Signficiant % of cover,2,,,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Senecio vulgaris,few,2,,,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Cardamine flexuosa,few,2,,,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Cornus mas,several,2,,half of back hedgerow delimiting green space,schneidergaessli-area-1
05.04.21,schneidergaessli,area,1,Salix,1,0,,,schneidergaessli-area-1
04.04.21,Blumenrain,area,1,Corydalus cava,Signficiant % of cover,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Anemone nemorosa,1 patch,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Bellis perennis,scattered,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Forsythia x intermedia,1 patch,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,viola odorata,scattered,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Veronica hederifolia,scattered,1,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Potentilla sterilis,scattered,1,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Primula acaulis,scattered,1,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Veronica persica,1 patch,0,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Narcissus pseuonarcissus,1 patch,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Prunus laurocerasus,1,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Cardamine flexuosa,scattered,1,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Brunnera macrophylla,scattered,1,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,taraxacum,scattered,1,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Berberis aquifolium,1  patch,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Ranunculus ficaria,Signficiant % of cover,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Cardamine pratensis,scattered,2,,,Blumenrain-area-1
04.04.21,Blumenrain,area,1,Berberis julianae,1  patch,2,,,Blumenrain-area-1
05.04.21,Blumenrain,box,1,Tussilago farfara,Signficiant % of cover,2,,Old flowers no longer food sources,Blumenrain-box-1
05.04.21,Blumenrain,box,1,taraxacum,4,1,,,Blumenrain-box-1
05.04.21,Blumenrain,box,1,erophila verna,scattered,1,,,Blumenrain-box-1
06.04.21,zukunftstrasse,box,13,Viburnum farreri,1,2,,,zukunftstrasse-box-13
06.04.21,zukunftstrasse,box,13,Quercus suber,1,1,,,zukunftstrasse-box-13
06.04.21,zukunftstrasse,box,13,Prunus avium,1,0,,,zukunftstrasse-box-13
06.04.21,zukunftstrasse,box,14,Viburnum farreri,1,2,,,zukunftstrasse-box-14
06.04.21,zukunftstrasse,box,14,Quercus suber,1,1,,,zukunftstrasse-box-14
06.04.21,zukunftstrasse,box,14,Prunus avium,1,0,,,zukunftstrasse-box-14
06.04.21,Kongresshaus,box,1,Mahonia aquifolium,100.00%,2,,entire box filled with MA and no other flowering plants around.,Kongresshaus-box-1
06.04.21,Kongresshaus,box,2,Mahonia aquifolium,Signficiant % of cover,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,lamium purpureum,Signficiant % of cover,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,Glechoma hederacea,Signficiant % of cover,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,erophila verna,scattered,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,Cardamine flexuosa,Signficiant % of cover,1,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,taraxacum,scattered,1,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,viola odorata,scattered,2,,,Kongresshaus-box-2
04.04.21,Blumenrain,berm,1,medicato lupulina,1 patch,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,erophila verna,scattered,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Senecio vulgaris,scattered,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Muscari neglectum,3 patches,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,taraxacum,scattered,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Primula acaulis,2 patches,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Glechoma hederacea,scattered,2,,,Blumenrain-berm-1
