obs_id,date,place,species,determinavit_cf,municipality.id,municipality.name,municipality_expert,srid,x,y,geometry,xy_type,xy_precision,geo_expert,altitude_min,altitude_max,altitude_expert,supplements.obs_type
10902042,06/27/21 06:59 PM,Schneidergaessli-area-1,Lapsana communis,-,371,Biel/Bienne,SP,4326,7.24954644,47.13301633,POINT(7.24954644 47.13301633),GM,13,O,438.7,,SP,
10902041,06/27/21 07:00 PM,Schneidergaessli-area-1,Medicago sativa,-,371,Biel/Bienne,SP,4326,7.24947469,47.13302073,POINT(7.24947469 47.13302073),GM,5.5,O,438.7,,SP,
10902040,06/27/21 07:00 PM,Schneidergaessli-area-1,Geranium pyrenaicum,-,371,Biel/Bienne,SP,4326,7.24944695,47.13301457,POINT(7.24944695 47.13301457),GM,2.5,O,438.7,,SP,
10902039,06/27/21 07:00 PM,Schneidergaessli-area-1,Trifolium repens,-,371,Biel/Bienne,SP,4326,7.24943169,47.13301142,POINT(7.24943169 47.13301142),GM,2.5,O,438.7,,SP,
10902038,06/27/21 07:00 PM,Schneidergaessli-area-1,Lotus corniculatus aggr.,-,371,Biel/Bienne,SP,4326,7.24943169,47.13301142,POINT(7.24943169 47.13301142),GM,2.5,O,438.7,,SP,
10902037,06/27/21 07:00 PM,Schneidergaessli-area-1,Geum urbanum,-,371,Biel/Bienne,SP,4326,7.24943169,47.13301142,POINT(7.24943169 47.13301142),GM,2,O,438.7,,SP,
10902036,06/27/21 07:00 PM,Schneidergaessli-area-1,Convolvulus sp.,-,371,Biel/Bienne,SP,4326,7.24943169,47.13301142,POINT(7.24943169 47.13301142),GM,2.5,O,438.7,,SP,
10902035,06/27/21 07:01 PM,Schneidergaessli-area-1,Ranunculus sp.,-,371,Biel/Bienne,SP,4326,7.24940521,47.13300614,POINT(7.24940521 47.13300614),GM,2.5,O,438.7,,SP,
10902034,06/27/21 07:01 PM,Schneidergaessli-area-1,Potentilla reptans,-,371,Biel/Bienne,SP,4326,7.24940152,47.13301871,POINT(7.24940152 47.13301871),GM,3,O,438.7,,SP,
10902033,06/27/21 07:03 PM,Schneidergaessli-area-1,Borago officinalis,CF,371,Biel/Bienne,SP,4326,7.24937621,47.13302584,POINT(7.24937621 47.13302584),GM,2.5,O,438.7,,SP,
10902032,06/27/21 07:04 PM,Schneidergaessli-area-1,Rumex sp.,-,371,Biel/Bienne,SP,4326,7.24935869,47.13300664,POINT(7.24935869 47.13300664),GM,2,O,438.7,,SP,
10902031,06/28/21 10:58 AM,Studen-forest-1,Geum urbanum,-,749,Studen (BE),SP,4326,7.30004112,47.10950978,POINT(7.30004112 47.10950978),GM,41,O,435,443.3,SP,
10902030,06/28/21 10:58 AM,Studen-forest-1,Convolvulus arvensis,-,749,Studen (BE),SP,4326,7.30004313,47.10933435,POINT(7.30004313 47.10933435),GM,7.5,O,436.3,441.1,SP,
10902029,06/28/21 10:58 AM,Studen-forest-1,Geranium robertianum,-,749,Studen (BE),SP,4326,7.30004313,47.10933435,POINT(7.30004313 47.10933435),GM,6.5,O,436.3,440.8,SP,
10902028,06/28/21 10:58 AM,Studen-forest-1,Senecio jacobaea,-,749,Studen (BE),SP,4326,7.30004313,47.10933435,POINT(7.30004313 47.10933435),GM,5.5,O,436.3,440.2,SP,
10902027,06/28/21 10:58 AM,Studen-forest-1,Rumex obtusifolius,-,749,Studen (BE),SP,4326,7.30004313,47.10933435,POINT(7.30004313 47.10933435),GM,5,O,436.3,440.2,SP,
10902026,06/28/21 11:01 AM,Studen-forest-1,Urtica dioica,-,749,Studen (BE),SP,4326,7.29989461,47.1094763,POINT(7.29989461 47.1094763),GM,4,O,440.8,,SP,
10902025,06/28/21 11:02 AM,Studen-forest-1,Geranium pyrenaicum,-,749,Studen (BE),SP,4326,7.2998734,47.10948518,POINT(7.2998734 47.10948518),GM,3.5,O,440.8,,SP,
10902024,06/28/21 11:02 AM,Studen-forest-1,Galium mollugo aggr.,-,749,Studen (BE),SP,4326,7.29986359,47.10949381,POINT(7.29986359 47.10949381),GM,3,O,440.8,,SP,
,06/28/21 11:02 AM,Studen-forest-1,Hedera helix,,749,Studen (BE),,,,,,,,,,,,
10902023,06/28/21 11:02 AM,Studen-forest-1,Erigeron annuus,-,749,Studen (BE),SP,4326,7.29960711,47.10974397,POINT(7.29960711 47.10974397),GM,2.5,O,440.5,441.2,SP,
10902022,06/28/21 11:03 AM,Studen-forest-1,Achillea millefolium aggr.,-,749,Studen (BE),SP,4326,7.29959889,47.10979548,POINT(7.29959889 47.10979548),GM,2,O,441.2,,SP,
10902021,06/28/21 11:03 AM,Studen-forest-1,Sonchus sp.,-,749,Studen (BE),SP,4326,7.29962077,47.10991366,POINT(7.29962077 47.10991366),GM,2.5,O,440,441.2,SP,
10902020,06/28/21 11:04 AM,Studen-forest-1,Oenothera biennis,-,749,Studen (BE),SP,4326,7.29967391,47.11035975,POINT(7.29967391 47.11035975),GM,2.5,O,439.5,,SP,
10902019,06/28/21 11:05 AM,Studen-forest-2,Silene vulgaris,-,749,Studen (BE),SP,4326,7.29943293,47.11105926,POINT(7.29943293 47.11105926),GM,3,O,441.2,,SP,
10902018,06/28/21 11:05 AM,Studen-forest-2,Prunella vulgaris,-,749,Studen (BE),SP,4326,7.29943452,47.11115372,POINT(7.29943452 47.11115372),GM,2.5,O,441.4,,SP,
10902017,06/28/21 11:06 AM,Studen-forest-2,Trifolium repens,-,749,Studen (BE),SP,4326,7.29944173,47.11117187,POINT(7.29944173 47.11117187),GM,2.5,O,441.4,,SP,
10902016,06/28/21 11:06 AM,Studen-forest-2,Malus pumila,-,749,Studen (BE),SP,4326,7.29938985,47.11152399,POINT(7.29938985 47.11152399),GM,2.5,O,441.6,,SP,
10902015,06/28/21 11:07 AM,Studen-forest-2,Medicago sativa,-,749,Studen (BE),SP,4326,7.29922799,47.11166255,POINT(7.29922799 47.11166255),GM,3,O,444,,SP,
10902014,06/28/21 11:09 AM,Studen-forest-2,Stachys sylvatica,-,749,Studen (BE),SP,4326,7.29905809,47.11195105,POINT(7.29905809 47.11195105),GM,3,O,447.4,,SP,
10902013,06/28/21 11:10 AM,Studen-forest-2,Rubus sp.,-,749,Studen (BE),SP,4326,7.29905214,47.11199946,POINT(7.29905214 47.11199946),GM,2.5,O,443.6,447.4,SP,
10902012,06/28/21 11:12 AM,Studen-forest-2,Epilobium parviflorum,CF,749,Studen (BE),SP,4326,7.29907025,47.11199154,POINT(7.29907025 47.11199154),GM,2,O,443.6,447.4,SP,
10902011,06/28/21 11:13 AM,Studen-forest-2,Veronica officinalis,-,749,Studen (BE),SP,4326,7.29908064,47.11204145,POINT(7.29908064 47.11204145),GM,3,O,443.6,,SP,
10902010,06/28/21 11:17 AM,Studen-forest-2,Hedera helix,-,749,Studen (BE),SP,4326,7.2986918,47.11294192,POINT(7.2986918 47.11294192),GM,4,O,447.1,449.3,SP,
10902009,06/28/21 11:17 AM,Studen-forest-2,Rubus fruticosus aggr.,CF,749,Studen (BE),SP,4326,7.29869063,47.11294037,POINT(7.29869063 47.11294037),GM,4,O,447.1,449.3,SP,
10902008,06/28/21 11:19 AM,Studen-forest-2,Atropa bella-donna,-,749,Studen (BE),SP,4326,7.29870689,47.11294376,POINT(7.29870689 47.11294376),GM,3.5,O,447.1,,SP,
10902007,06/28/21 11:22 AM,Studen-forest-2,Impatiens parviflora,-,749,Studen (BE),SP,4326,7.29806869,47.11379365,POINT(7.29806869 47.11379365),GM,3.5,O,448,448.7,SP,
10902006,06/28/21 11:27 AM,Studen-forest-2,Circaea lutetiana,-,749,Studen (BE),SP,4326,7.29753141,47.11388208,POINT(7.29753141 47.11388208),GM,5,O,462.9,,SP,
10902005,06/28/21 11:31 AM,Studen-forest-2,Fragaria vesca,-,749,Studen (BE),SP,4326,7.29733,47.11404464,POINT(7.29733 47.11404464),GM,5,O,453.5,468.6,SP,
10902004,06/28/21 11:32 AM,Studen-forest-2,Galium odoratum,CF,749,Studen (BE),SP,4326,7.29724467,47.11401857,POINT(7.29724467 47.11401857),GM,4.5,O,456.1,468.6,SP,
10902003,06/28/21 11:35 AM,Studen-forest-2,Allium ursinum,-,749,Studen (BE),SP,4326,7.29670739,47.11421186,POINT(7.29670739 47.11421186),GM,3.5,O,458.4,,SP,
10902002,06/29/21 10:31 AM,murtenstrasse-area-1,Sedum album,-,371,Biel/Bienne,SP,4326,7.24608488,47.13198824,POINT(7.24608488 47.13198824),GM,11.5,O,434.3,434.5,SP,
10902001,06/29/21 10:31 AM,murtenstrasse-area-1,Medicago sativa,-,371,Biel/Bienne,SP,4326,7.24611045,47.13197332,POINT(7.24611045 47.13197332),GM,7,O,434.3,434.5,SP,
10902000,06/29/21 10:31 AM,murtenstrasse-area-1,Hypericum perforatum,CF,371,Biel/Bienne,SP,4326,7.24608472,47.13199005,POINT(7.24608472 47.13199005),GM,3,O,434.4,,SP,
