species,origin,year collected,Planting-date,container,amount planted,10.10.2021_count,10.10.2021_comment,12.10.2021_count,12.20.2021_comment,14.10.2021_count,14.10.2021_comment,16.10.2021_count,16.10.2021_comment,18.10.2021_count,18.10.2021_comment,20.10.2021_count,20.10.2021_comment,22.10.2021_count,22.10.2021_comment,24.10.2021_count,24.20.2021_comment,26.10.2021_count,26.10.2021_comment,28.10.2021_count,28.10.2021_comment,30.10.2021_count,30.10.2021_comment,03.11.2021_count,03.11.2021_comment,10.11.2021_count,10.11.2021_comment,18.11.2021_count
Trifolium campestre,personal,2021,10/8/2021,Plastic-tray,22 cells,12,"sprouts doing well, seeds not yet sprouted",14,sprouts are leggy,16,sprouts very leggy; other seeds started sprouting,16,,16,,18,all seedlings gone; now new sprouts,18,,19,,21,,21,,skip,,skip,,skip,,skip
Medicago sativa,personal,2021,10/8/2021,Plastic-tray,22 cells,10,"sprouts doing well, seeds not yet sprouted",12,"sprouts are leggy, seeds are sprouting",16,sprouts very leggy; other seeds started sprouting,16,,17,,17,dominated by new seedlings,17,,18,,18,,18,,skip,,skip,,skip,,skip
Sanguisorba minor,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,3,"sprouts are leggy, seeds sprouting",8,,11,,11,,11,,11,high germination percentage; need to transplant soon,11,,11,,11,,skip,,skip,,skip,,skip
Trifolium sp.,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,3,,5,,7,,7,,9,,8,,9,,9,,9,,skip,,skip,,skip,,skip
Medicago lupulina,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,0,,2,,3,,3,,6,,5,,6,,5,,5,,skip,,skip,,skip,,skip
Tragopogon pratensis,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,0,,0,,1,,2,,3,,4,,4,,9,,10,,skip,,skip,,skip,,skip
solidago sp.,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,0,,0,,4,,7,,11,concentrated in 4 boxes,11,contaminated many other boxes,11,,11,,11,,skip,,skip,,skip,,skip
Centaurea Scabiosa,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,2,,8,,8,,9,,7,,8,,8,,8,,8,,skip,,skip,,skip,,skip
Silene Dioica,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,1,,1,maybe contamination !,1,,1,,8,,8,,9,,9,,8,,skip,,skip,,skip,,skip
Dianthus Carthusianorum,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,2,,9,,11,,11,,11,,11,very high germination rate,11,,11,,11,,skip,,skip,,skip,,skip
anthyllis vulneraria,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,0,,0,,0,,0,,0,,0,,0,,0,,0,,skip,,skip,,skip,,skip
Onobrychus vicifolia,personal,2021,10/8/2021,Plastic-tray,11 cells,0,nothing yet,3,,11,,11,,11,,11,,11,,11,,11,,11,,skip,,skip,,skip,,skip
