 ID taxon,species,nom allemand,nom francais,nom italien,priorite,menace,responsabilite,necessite de prendre des mesures,Necessite de surveiller les populations,connaissances suffisantes?,techniques connues?,Jura,Plateau
1000,Achillea atrata L.,Schwarze Schafgarbe,Achillee noiratre,Millefoglio del calcare,4,LC,3,0,0,1,1,0,0
1100,Achillea clavenae L.,Clavenas Schafgarbe,Achillee de Clavena,Millefoglio di Clavena,3,VU,2,1,0,1,0,0,0
1200,Achillea collina Rchb.,Huegel-Schafgarbe,Achillee des collines,Millefoglio comune,4,VU,1,1,1,1,0,0,0
1500,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Moschus-Schafgarbe,Achillee musquee,Millefoglio del granito,4,LC,3,0,0,1,0,0,0
1600,Achillea macrophylla L.,Grossblaettrige Schafgarbe,Achillee a grandes feuilles,Millefoglio delle radure,4,LC,3,0,0,1,0,0,0
2200,Achillea ptarmica L.,Sumpf-Schafgarbe,Herbe a eternuer,Millefoglio palustre,4,VU,1,1,1,1,0,A,A
3100,Aconitum anthora L.,Blassgelber Eisenhut,Aconit anthora,Aconito antora,4,VU,1,1,2,1,0,A,0
3570,Aconitum napellus subsp. tauricum (Wulfen) Gayer,Tauern-Eisenhut,Aconit du Tauern,Aconito dei Tauri,3,VU,2,1,1,1,0,0,0
4400,Aconitum variegatum L. subsp. variegatum,Gescheckter Eisenhut,Aconit panache,Aconito screziato,4,VU,1,1,1,1,0,0,0
4700,Aconitum variegatum subsp. rostratum (DC.) Gayer,Geschnaebelter Eisenhut,Aconit a bec,Aconito rostrato,4,NT,2,0,0,1,0,0,0
5300,Adenophora liliifolia (L.) A. DC.,Druesenglocke,Adenophore a feuilles de lis,Campanella odorosa,1,CR,2,2,2,2,1,0,0
5600,Adenostyles leucophylla (Willd.) Rchb.,Filziger Alpendost,Adenostyle a feuilles blanches,Cavolaccio lanoso,4,LC,3,0,0,1,0,0,0
5700,Adiantum capillus-veneris L.,Venushaar,Capillaire,Capelvenere comune,4,VU,1,1,1,1,0,A,A
5800,Adonis aestivalis L.,Sommer-Blutstroepfchen,Adonis d'ete,Adonide estiva,4,VU,1,2,0,2,1,A,A
