date,species,year,biogeo,canton,river,lot,forest,project,city,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date
2020-09-02,plantago-lanceolata,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-09-02,centaurea-nigra,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,ns,X,X,X,X,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-09-02,plantago-media,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-09-02,chenopodium-album,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Amaranthaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-09-02,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-09-02,veronica-persica,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-09-02,geranium-pyrenaicum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')"
2020-07-28,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')"
2020-07-28,daucus-carota,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')"
2020-07-28,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')"
2020-07-31,mentha-spicata,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,X,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')"
2020-07-31,pastinaca-sativa,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,X,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')"
2020-07-31,galium-mollugo,1,mp,be,madretschkanal,X,X,X,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')"
2020-07-31,trifolium-pratense,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')"
2020-07-31,daucus-carota,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')"
16.06.2020,achillea-millefolium,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')"
16.06.2020,sedum-album,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Crassulaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')"
16.06.2020,chaerophyllum-hirsutum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')"
16.06.2020,erigeron-annuus,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')"
2020-07-31,epilobium-hirsutum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Onagraceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '2020-07-31')"
