art,jahr,standort,menge,letzte aktualisierung,bearbeitet,lagerbehälter
achillea millefolium,2020,ursula albrecht,1 teelöffel,Oct-21,,plastikkiste
achillea millefolium,2020,jorat,2 esslöffel,Oct-21,,plastikkiste
acinos alpinum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
agastache sp.,2016,gad,4 esslöffel,Oct-21,,plastikkiste
agrimonia eupatoria,2020,volo,1/4 gefäss,Oct-21,,plastikkiste
agrimonia eupatoria,2015,gad,1 gefäss,Oct-21,,plastikkiste
agrimonia eupatoria,2020,volo,1/4 gefäss,Oct-21,,plastikkiste
agrimonia eupatoria,?,gad,1 gefäss,Oct-21,,plastikkiste
agrimonia eupatoria,2015,gad,1 klein gefäss,Oct-21,,plastikkiste
agrostemma githalgo,2019,volo,1 sehr klein gefäss,Oct-21,,plastikkiste
agrostemma githalgo,2018,volo,1/4 gefäss,Oct-21,,plastikkiste
agrostemma githalgo,2020,volo,1/4 gefäss,Oct-21,,plastikkiste
agrostemma githalgo,2017,gad,4 esslöffel,Oct-21,,plastikkiste
alcea rosea,2015,gad,1 gefäss,Oct-21,,plastikkiste
alcea rosea,2015,gad,1 gefäss,Oct-21,,plastikkiste
alcea rosea,2015,gad,1 gefäss,Oct-21,,plastikkiste
alcea rosea,2015,gad,1 gefäss,Oct-21,,plastikkiste
Alchemilla alpina,2020,volo,1/5 klein gefäss,Oct-21,,plastikkiste
alchemilla alpina,2019,AU,2 esslöffel,Oct-21,,plastikkiste
alchemilla alpina,2018,volo,4 esslöffel,Oct-21,,plastikkiste
alchemilla xanthochlora,2019,ursula albrecht,2 esslöffel,Oct-21,,plastikkiste
allium fistulosum,2019,?,1 klein package,Oct-21,yes,plastikkiste
allium montanum,2016,gad,1 esslöffel,Oct-21,,plastikkiste
allium schoenoprasum,2019,volo,1 teelöffel,Oct-21,,plastikkiste
allium sphaerocephalon,2020,volo,3 esslöffel,Oct-21,,plastikkiste
allium sphaerocephalon,2019,volo,3 esslöffel,Oct-21,,plastikkiste
allium vineale ,2016,gad,1 esslöffel,Oct-21,,plastikkiste
althaea officinalis,2017,gad,2 esslöffel,Oct-21,,plastikkiste
althaea officinalis,2020,volo,1 esslöffel,Oct-21,,plastikkiste
anemone nemorosa,2016,Uetendorf,1 esslöffel,Oct-21,,plastikkiste
anemone sylvestris,2019,lobsigen,2 esslöffel,Oct-21,,plastikkiste
anemone sylvestris,2017,PW / Eschenbach,2 esslöffel,Oct-21,,plastikkiste
anthemis tinctoria,2019,ursula albrecht,1 esslöffel,Oct-21,,plastikkiste
anthemis tinctoria,2019,ursula albrecht,4 esslöffel,Oct-21,,plastikkiste
anthemis tinctoria,2018,volo,1 esslöffel,Oct-21,,plastikkiste
anthemis tinctoria,2016,gad,1/2 gefäss,Oct-21,,plastikkiste
anthemis tinctoria,2019,ursula albrecht,1/2 klein gefäss,Oct-21,2019l,plastikkiste
anthemis tinctoria,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
anthericum ramosum,2019,volo,3 esslöffel,Oct-21,,plastikkiste
anthericum ramosum,?,?,1 sehr klein gefäss,Oct-21,,plastikkiste
anthericum ramosum,2019,ursula albrecht,4 esslöffel,Oct-21,,plastikkiste
anthericum ramosum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
anthriscus sylvestris,2016,gad,1 klein gefäss,Oct-21,,plastikkiste
anthyllis vulneraria,2019,rubigen,1 gefäss,Oct-21,,plastikkiste
anthyllis vulneraria,2020,volo,4 esslöffel,Oct-21,,plastikkiste
anthyllis vulneraria,?,?,a lot,Oct-21,,plastikkiste
aquilegia vulgaris,2016,gad / ursula albrecht,1 gefäss,Oct-21,,plastikkiste
aquilegia vulgaris,2020,ursula albrecht,4 esslöffel,Oct-21,,plastikkiste
aquilegia vulgaris,2018,?,1 esslöffel,Oct-21,,plastikkiste
aquilegia vulgaris,2019,volo,3 esslöffel,Oct-21,,plastikkiste
armeria maritima,2015,gad,1 gefäss,Oct-21,,plastikkiste
artemisia abinsthium,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
artemisia absinthium,2016,gad,3 esslöffel,Oct-21,,plastikkiste
artemisia absinthium,?,hof berg-garten,1 klein package,Oct-21,,plastikkiste
artemisia umbelliformis,2016,ursula albrecht,4 esslöffel,Oct-21,,plastikkiste
artemisia vulgaris,2016,gad,1 esslöffel,Oct-21,,plastikkiste
aruncus dioica,2019,Jorat,1 klein gefäss,Oct-21,,plastikkiste
aruncus dioica,2015,gad,3 esslöffel,Oct-21,,plastikkiste
aruncus dioica,2016,gad,3 esslöffel,Oct-21,,plastikkiste
aruncus dioica,2016,jorat,1/3 klein gefäss,Oct-21,,plastikkiste
aster amellus,2018,volo,1/5 jam gefäss,Oct-21,,plastikkiste
aster amellus,2015,ursula albrecht,1 gefäss,Oct-21,,plastikkiste
aster amellus,2019,volo,half a klein gefäss,Oct-21,,plastikkiste
aster amellus,2019,Jorat,3 esslöffel,Oct-21,,plastikkiste
aster amellus,2015,ursula albrecht,1/5 gefäss,Oct-21,,plastikkiste
aster linosyrus,2019,ticino,2 esslöffel,Oct-21,,plastikkiste
aster linosyrus,2020,volo,3 esslöffel,Oct-21,,plastikkiste
aster linosyrus,2019,volo,1 teelöffel,Oct-21,,plastikkiste
aster linosyrus,2019,ticino,1/2 gefäss,Oct-21,,plastikkiste
aster linosyrus,2019,rubigen,1/2 klein gefäss,Oct-21,,plastikkiste
astrantia major,2020,volo,1/2 teelöffel,Oct-21,,plastikkiste
betonica officinalis,2018,volo,4 esslöffel,Oct-21,,plastikkiste
betonica officinalis,2019,volo,4 esslöffel,Oct-21,yes,plastikkiste
betonica officinalis,2020,volo,2 esslöffel,Oct-21,yes,plastikkiste
betonica officinalis,2020,volo,1/4 klein gefäss,Oct-21,yes,plastikkiste
briza media,2020,?,2 teelöffels,Oct-21,yes,plastikkiste
buphthalmum salicifolium,2020,volo,3 esslöffel,Oct-21,,plastikkiste
buphthalmum salicifolium,2019,ursula albrecht,1/3 jam gefäss,Oct-21,,plastikkiste
buphthalmum salicifolium,2015,gad,1/4 klein gefäss,Oct-21,,plastikkiste
buphthalmum salicifolium,2020,volo,3 esslöffel,Oct-21,yes,plastikkiste
bupleurum falcatum,2017,gad,2 esslöffel,Oct-21,,plastikkiste
calamintha menthifolia,2019,twannbachsclucht,2 teelöffels,Oct-21,yes,plastikkiste
calamintha sylvatica,?,hof berg-garten,1 klein package,Oct-21,yes,plastikkiste
calendula officinalis,2020,volo,3 esslöffel,Oct-21,yes,plastikkiste
campanula cervicria,2020,volo,1 sehr klein gefäss,Oct-21,yes,plastikkiste
campanula glomerata,2015,schwarzsee,1 esslöffel,Oct-21,,plastikkiste
campanula glomerata,2019,volo,1 esslöffel,Oct-21,yes,plastikkiste
campanula glomerata,2015,ursula albrecht,2 esslöffel,Oct-21,yes,plastikkiste
campanula perscifolia,2018,volo,1 teelöffel,Oct-21,,plastikkiste
campanula perscifolia,2015,gad,2 teelöffels,Oct-21,,plastikkiste
campanula perscifolia,2020,volo,1  esslöffel,Oct-21,yes,plastikkiste
campanula perscifolia,2016,gad,2 teelöffels,Oct-21,yes,plastikkiste
campanula perscifolia,2020,jorat,2 teelöffels,Oct-21,yes,plastikkiste
campanula perscifolia,2017,gad,2 teelöffels,Oct-21,yes,plastikkiste
campanula perscifolia,2016,gad,2 teelöffels,Oct-21,yes,plastikkiste
campanula perscifolia,2019,ursula albrecht,2 esslöffel,Oct-21,yes,plastikkiste
campanula perscifolia,2019,volo,1 teelöffel,Oct-21,yes,plastikkiste
campanula perscifolia,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
campanula rapunculoides,2016,rubigen,1/3 klein gefäss,Oct-21,,plastikkiste
campanula rapunculoides,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
campanula rotundifolia,2020,volo,1 teelöffel,Oct-21,yes,plastikkiste
campanula rotundifolia,2020,jorat,1 esslöffel,Oct-21,yes,plastikkiste
campanula rotundifolia,2017,gad,1  esslöffel,Oct-21,yes,plastikkiste
campanula rotundifolia,2016,gad,1  esslöffel,Oct-21,yes,plastikkiste
campanula rotundifolia,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
